wavelength (A),flux density (erg/cm2/s/A)
4499.0986,3.0006E-12
4501.8457,3.0350E-12
4504.5928,3.1255E-12
4507.3394,3.1570E-12
4510.0864,3.1450E-12
4512.8335,3.1149E-12
4515.5806,3.0373E-12
4518.3271,3.0359E-12
4521.0742,3.0570E-12
4523.8213,2.9837E-12
4526.5679,2.8692E-12
4529.3149,2.7458E-12
4532.0615,2.7661E-12
4534.8086,2.8050E-12
4537.5552,2.8951E-12
4540.3018,2.9835E-12
4543.0488,2.9966E-12
4545.7954,2.9416E-12
4548.542,2.8739E-12
4551.2891,2.8480E-12
4554.0356,2.8698E-12
4556.7822,2.9076E-12
4559.5288,3.0284E-12
4562.2759,3.0665E-12
4565.0225,3.0061E-12
4567.769,2.9972E-12
4570.5156,3.0424E-12
4573.2622,3.0163E-12
4576.0088,3.0764E-12
4578.7554,3.0533E-12
4581.502,2.9241E-12
4584.248,2.8778E-12
4586.9946,2.9281E-12
4589.7412,2.9875E-12
4592.4878,2.9661E-12
4595.2344,2.9495E-12
4597.9805,2.9409E-12
4600.7271,2.9525E-12
4603.4736,2.9725E-12
4606.2197,3.0068E-12
4608.9663,3.0379E-12
4611.7124,3.0546E-12
4614.459,3.0432E-12
4617.2051,3.0532E-12
4619.9517,3.0297E-12
4622.6978,3.0640E-12
4625.4438,3.0703E-12
4628.1904,3.0734E-12
4630.9365,3.0798E-12
4633.6826,3.0580E-12
4636.4287,3.0286E-12
4639.1748,2.9812E-12
4641.9214,3.0079E-12
4644.6675,2.9838E-12
4647.4136,2.9025E-12
4650.1597,2.9257E-12
4652.9058,2.9541E-12
4655.6519,2.9688E-12
4658.3975,3.0191E-12
4661.1436,3.0501E-12
4663.8896,2.9871E-12
4666.6357,2.8985E-12
4669.3818,2.8056E-12
4672.1274,2.9363E-12
4674.8735,2.9767E-12
